rollout/success_rate,train/n_updates,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,time/time_elapsed,train/ent_coef,train/critic_loss,time/fps,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.0,1930,15872,-1.9443381905555726,0.0003,-7.010601663589478,2324,0.5612338125705719,0.1786852010525763,1365,3174400,,,
0.0,1960,16128,-1.9756654143333434,0.0003,-7.057353591918945,2341,0.5562065601348877,0.19893042072653772,1377,3225600,,,
0.0,1990,16384,-2.004130554199219,0.0003,-7.116499376296997,2357,0.5512226402759552,0.16265343455597758,1389,3276800,,,
0.0,2030,16640,-2.0439441442489623,0.0003,-7.140012550354004,2374,0.5446500718593598,0.0923312864266336,1401,3328000,,,
0.01,2060,16896,-2.0753535270690917,0.0003,-7.228142881393433,2390,0.5397735834121704,0.12393988873809576,1413,3379200,,,
0.0,2090,17152,-2.1070979595184327,0.0003,-7.261830425262451,2407,0.5349379241466522,0.08742083599790931,1424,3430400,,,
0.0,2120,17408,-2.1364394664764403,0.0003,-7.300106239318848,2423,0.5301454842090607,0.09107546834275126,1436,3481600,,,
0.0,2150,17664,-2.1664233684539793,0.0003,-7.333780908584595,2440,0.5253951847553253,0.06903623454272748,1447,3532800,,,
0.0,2180,17920,-2.196278929710388,0.0003,-7.392094993591309,2456,0.5206852972507476,0.06882317373529076,1459,3584000,,,
0.01,2210,18176,-2.2274200201034544,0.0003,-7.447196912765503,2472,0.5160204827785492,0.06816618693992496,1470,3635200,,,
0.0,2240,18432,-2.259012317657471,0.0003,-7.4715794086456295,2488,0.5113981604576111,0.10572463190183043,1481,3686400,,,
0.0,2280,18688,-2.298310732841492,0.0003,-7.50440821647644,2505,0.5052980840206146,0.03032607426866889,1491,3737600,,,
0.0,2310,18944,-2.32692346572876,0.0003,-7.554594993591309,2522,0.5007738709449768,0.08842843770980835,1502,3788800,,,
0.0,2340,19200,-2.3606752872467043,0.0003,-7.611491060256958,2538,0.496287539601326,0.08881948729977011,1512,3840000,,,
0.0,2370,19456,-2.391592526435852,0.0003,-7.605919885635376,2555,0.4918390095233917,0.06617837520316243,1522,3891200,,,
0.0,2400,19712,-2.4202616930007936,0.0003,-7.636380624771118,2571,0.4874322235584259,0.06740909023210406,1533,3942400,,,
0.01,2430,19968,-2.449060392379761,0.0003,-7.692734289169311,2588,0.4830654263496399,0.049969546217471364,1543,3993600,,,
,2440,,-2.4582497835159303,0.0003,-7.715440130233764,,0.4816185265779495,0.0897095836699009,,3999744,0.0,200.0,-46.04539444893599
0.0,2460,20224,-2.477653908729553,0.0003,-7.738227319717407,3071,0.4787392169237137,0.02991404477506876,1316,4044800,,,
0.0,2490,20480,-2.506144118309021,0.0003,-7.766663360595703,3089,0.4744526445865631,0.03056434392929077,1325,4096000,,,
0.0,2530,20736,-2.550297260284424,0.0003,-7.838770771026612,3106,0.46879676878452303,0.08553813016042114,1335,4147200,,,
0.0,2560,20992,-2.5801443099975585,0.0003,-7.8815632343292235,3122,0.464596626162529,0.1056463148444891,1344,4198400,,,
0.0,2590,21248,-2.608862042427063,0.0003,-7.899133396148682,3139,0.46043514013290404,0.08561304016038776,1353,4249600,,,
