#{"t_start": 1782379674.2784123, "env_id": "None"}
r,l,t
-41.122433,200,236.931126
-62.655018,200,236.931126
-39.76218,200,236.931126
-35.98214,200,236.931126
-42.135906,200,236.931126
-50.66423,200,255.139101
-78.94823,200,325.149544
-56.227654,200,325.150044
-41.911484,200,325.150044
-31.769165,200,325.150044
-56.466602,200,325.150044
-50.886803,200,325.150044
-42.48803,200,325.150044
-61.168926,200,325.150044
-29.733654,200,325.150044
-72.373085,200,325.150044
-71.80883,200,325.150044
-44.913975,200,325.150044
-47.87921,200,325.150044
-83.2118,200,325.150044
-56.78065,200,325.150044
-33.998806,200,325.150044
-44.731583,200,325.150044
-35.6552,200,325.150044
-71.45682,200,325.150044
-42.70468,200,325.150044
-51.602737,200,325.150044
-47.0613,200,325.150044
-68.07447,200,325.150044
-61.427616,200,325.150044
-71.415,200,325.150044
-68.79236,200,325.150044
-64.18464,200,325.150044
-38.63043,200,325.150044
-40.05067,200,325.150044
-62.615654,200,325.150044
-48.29341,200,325.150044
-38.32635,200,325.150044
-58.314835,200,325.150044
-49.07825,200,325.150044
-81.002205,200,325.150044
-46.989536,200,325.150044
-34.644432,200,325.150044
-71.07106,200,325.150044
-49.483418,200,325.150044
-69.859276,200,325.150044
-32.55874,200,325.150044
-35.336662,200,325.150044
-71.77475,200,325.150044
-86.18933,200,325.150044
-34.446686,200,325.150044
-38.254314,200,325.150044
-50.788605,200,325.150044
-36.294456,200,325.150044
-77.89,200,325.150044
-44.97002,200,325.150044
-70.14242,200,325.150044
-75.861305,200,325.150044
-43.73867,200,325.150044
-61.321693,200,325.150044
-53.6191,200,325.150044
-37.060844,200,325.150044
-64.59885,200,325.150044
-50.718365,200,325.150044
-30.744038,200,325.150044
-31.086346,200,325.150044
-37.204193,200,325.150044
-70.53141,200,325.150044
-50.611824,200,325.150044
-39.510326,200,325.150044
-44.387016,200,325.150044
-54.08067,200,325.150044
-36.560707,200,325.150044
-54.836285,200,325.150044
-46.148552,200,325.150044
-40.204586,200,325.150044
-30.201624,200,325.150044
-77.02201,200,325.150044
-46.033363,200,325.150044
-78.756516,200,325.150044
-67.658195,200,325.150044
-78.90072,200,325.150044
-32.34294,200,325.150044
-72.54432,200,325.150044
-66.930405,200,325.150044
-52.99469,200,325.150044
-72.522865,200,325.150044
-42.392128,200,325.150044
-61.699486,200,325.150044
-54.56797,200,325.150044
-43.933388,200,325.150044
-56.2078,200,325.150044
-40.00123,200,325.150044
-45.44936,200,325.150044
-48.02848,200,325.150044
-68.8814,200,325.150044
-36.23268,200,325.150044
-60.0691,200,325.150044
-34.795998,200,325.150044
-34.692696,200,325.150044
-38.46337,200,325.150044
-31.775444,200,325.150044
-44.001957,200,325.150044
-78.503555,200,325.150044
-62.624466,200,325.150044
-59.990517,200,325.150044
-32.435818,200,325.150044
-39.62212,200,325.150044
-40.716473,200,325.150044
-58.980682,200,325.150044
-44.41985,200,325.150546
-56.107582,200,325.150546
-55.488316,200,325.150546
-48.03861,200,325.150546
-28.172247,200,325.150546
-38.416805,200,325.150546
-28.87778,200,325.150546
-51.704254,200,325.150546
-54.97718,200,325.150546
-28.945305,200,325.150546
-80.76124,200,325.150546
-40.930805,200,325.150546
-49.329033,200,325.150546
-65.17998,200,325.150546
-36.363102,200,325.150546
-35.081776,200,325.150546
-43.521465,200,325.150546
-31.880661,200,325.150546
-30.026773,200,325.150546
-33.911507,200,325.150546
-56.633938,200,325.150546
-62.174656,200,325.150546
-53.339916,200,325.150546
-30.369164,200,343.677369
-65.44593,200,411.42329
-37.787037,200,411.42379
-45.844994,200,411.42379
-27.173996,200,411.42379
-31.63813,200,411.42379
-75.471664,200,411.42379
-73.63858,200,411.42379
-30.631561,200,411.42379
-46.451233,200,411.42379
-63.497234,200,411.42379
-56.65472,200,411.42379
-40.309048,200,411.42379
-48.299263,200,411.42379
-61.467854,200,411.42379
-32.660168,200,411.42379
-32.741886,200,411.42379
-42.826748,200,411.42379
-34.85093,200,411.42379
-47.108112,200,411.42379
-40.68798,200,411.42379
-29.631163,200,411.42379
-59.01618,200,411.42379
-42.679363,200,411.42379
-54.258255,200,411.42379
-64.42309,200,411.42379
-31.03036,200,411.42379
-42.348347,200,411.42379
-42.4279,200,411.42379
-38.699078,200,411.42379
-47.14332,200,411.42379
-39.66305,200,411.42379
-33.436108,200,411.42379
-71.64668,200,411.42379
-59.3535,200,411.42379
-54.47996,200,411.42379
-29.47042,200,411.42379
-52.924232,200,411.42379
-46.779022,200,411.42379
-50.02343,200,411.42379
-48.426647,200,411.42379
-42.396652,200,411.42379
-56.56309,200,411.42379
-52.481384,200,411.42379
-29.93845,200,411.42379
-47.592392,200,411.42379
-59.306095,200,411.42379
-21.498398,200,411.42379
-49.948067,200,411.42379
-23.651958,200,411.42379
-34.332104,200,411.42379
-35.24152,200,411.42379
-25.928345,200,411.42379
-38.564987,200,411.42379
-38.16177,200,411.42379
-40.354485,200,411.42379
-39.058273,200,411.42379
-70.79587,200,411.42379
-54.898296,200,411.42379
-28.106209,200,411.42379
-53.02362,200,411.42379
-63.57106,200,411.42379
-50.59162,200,411.42379
-30.088537,200,411.42379
-51.877567,200,411.42379
-71.03847,200,411.42379
-56.067726,200,411.42379
-29.86199,200,411.42379
-61.30958,200,411.42379
-65.03427,200,411.42379
-48.13477,200,411.42379
-44.360996,200,411.42379
-35.69431,200,411.42379
-78.07016,200,411.42379
-71.658676,200,411.42379
-66.29351,200,411.42379
-24.839472,200,411.42379
-47.66725,200,411.42379
-35.85139,200,411.42379
-37.66318,200,411.42379
-52.84684,200,411.42379
-57.869923,200,411.42379
-51.339115,200,411.42379
-36.293446,200,411.42379
-40.921043,200,411.42379
-43.0704,200,411.42379
-36.562298,200,411.42379
-34.443695,200,411.42379
-47.132877,200,411.42379
-65.26404,200,411.42379
-33.20101,200,411.42379
-45.506443,200,411.42379
-29.289537,200,411.42379
-39.982067,200,411.42379
-45.49729,200,411.42379
-69.57674,200,411.42379
-68.680595,200,411.42379
-50.675014,200,411.42379
-42.176723,200,411.42429
-55.132473,200,411.42429
-67.62912,200,411.42429
-58.205727,200,411.42429
-52.734074,200,411.42429
-53.772057,200,411.42429
-51.72911,200,411.42429
-40.301716,200,411.42429
-32.63269,200,411.42429
-57.227608,200,411.42429
-47.37344,200,411.42429
-38.996155,200,411.42429
-63.478565,200,411.42429
-58.960957,200,411.42429
-47.28766,200,411.42429
-43.124172,200,411.42429
-78.5431,200,411.42429
-62.695194,200,411.42429
-85.673386,200,411.42429
-31.255993,200,411.42429
-36.54959,200,411.42429
-59.519634,200,411.42429
-49.94402,200,411.42429
-48.317474,200,411.42429
-52.083523,200,411.42429
-30.47152,200,411.42429
-37.656445,200,411.42429
-40.05795,200,411.42429
-38.5169,200,411.42429
-68.350266,200,411.42429
-35.499947,200,430.096754
-52.523598,200,498.809878
-51.44244,200,498.809878
-32.22998,200,498.809878
-51.180958,200,498.809878
-40.99463,200,498.809878
-61.82442,200,498.809878
-51.460983,200,498.809878
-54.937775,200,498.809878
-40.174213,200,498.809878
-44.509014,200,498.809878
-50.240936,200,498.809878
-38.55258,200,498.809878
-56.060566,200,498.809878
-50.449512,200,498.809878
-44.277233,200,498.809878
-30.608065,200,498.809878
-51.76843,200,498.809878
-68.16535,200,498.809878
-68.82953,200,498.809878
-40.18263,200,498.809878
-37.685482,200,498.809878
-66.75073,200,498.809878
-79.0285,200,498.809878
-84.504486,200,498.809878
-77.223236,200,498.809878
-52.723526,200,498.809878
-30.963253,200,498.809878
-57.47469,200,498.809878
-23.959326,200,498.809878
-51.88228,200,498.809878
-40.94528,200,498.809878
-36.279427,200,498.809878
-75.719376,200,498.809878
-52.84399,200,498.809878
-35.579876,200,498.809878
-27.890759,200,498.809878
-40.49135,200,498.809878
-30.962719,200,498.809878
-29.625689,200,498.809878
-77.37561,200,498.809878
-69.19883,200,498.809878
-32.091545,200,498.809878
-33.476322,200,498.809878
-60.32834,200,498.809878
-47.69385,200,498.809878
-85.23208,200,498.809878
-64.16656,200,498.809878
-59.69934,200,498.809878
-34.237804,200,498.809878
-54.692394,200,498.809878
-38.162502,200,498.809878
-55.22457,200,498.809878
-44.458004,200,498.809878
-25.807772,200,498.809878
-60.69711,200,498.809878
-50.976788,200,498.809878
-68.91117,200,498.809878
-53.314007,200,498.809878
-29.15594,200,498.809878
-30.925852,200,498.809878
-28.720886,200,498.809878
-61.042953,200,498.809878
-44.07052,200,498.809878
-43.494343,200,498.809878
-74.44486,200,498.809878
-48.785755,200,498.809878
-38.26687,200,498.809878
-58.132442,200,498.809878
-42.901985,200,498.809878
-66.99837,200,498.809878
-45.96169,200,498.809878
-54.02321,200,498.809878
-64.70907,200,498.809878
-32.581333,200,498.809878
-54.48534,200,498.809878
-49.662502,200,498.809878
-66.60572,200,498.809878
-63.04735,200,498.809878
-81.35633,200,498.809878
-37.38991,200,498.809878
-70.63297,200,498.809878
-35.666744,200,498.809878
-65.07586,200,498.809878
-48.43591,200,498.809878
-58.46939,200,498.809878
-54.28759,200,498.809878
-34.962234,200,498.809878
-50.713234,200,498.810378
-33.608818,200,498.810378
-50.978237,200,498.810378
-72.27132,200,498.810378
-47.69309,200,498.810378
-48.65797,200,498.810378
-66.24759,200,498.810378
-28.381283,200,498.810378
-34.34465,200,498.810378
-30.12028,200,498.810378
-41.80282,200,498.810378
-81.254265,200,498.810378
-44.028545,200,498.810378
-61.26976,200,498.810378
-37.7383,200,498.810378
-65.16493,200,498.810378
-69.25214,200,498.810378
-42.842106,200,498.810378
-78.63468,200,498.810378
-70.15266,200,498.810378
-52.72668,200,498.810378
-40.95728,200,498.810378
-30.026169,200,498.810378
-36.21398,200,498.810378
-32.720123,200,498.810378
-49.469204,200,498.810378
-33.919113,200,498.810378
-69.97134,200,498.810378
-28.572,200,498.810378
-44.18571,200,498.810378
-31.712433,200,498.810378
-55.61646,200,498.810378
-54.980854,200,498.810378
-51.68734,200,498.810378
-30.254303,200,498.810378
-53.19182,200,498.810378
-33.44746,200,498.810378
-40.145145,200,498.810378
-61.132446,200,498.810378
-59.04677,200,498.810378
-68.37893,200,516.928138
-7.205506,89,537.934137
-26.160225,200,586.687752
-43.178196,200,586.687752
-37.403767,200,586.687752
-29.130836,200,586.687752
-62.331497,200,586.687752
-37.241844,200,586.687752
-54.876297,200,586.687752
-68.80459,200,586.687752
-27.802166,200,586.687752
-50.842255,200,586.687752
-54.554947,200,586.687752
-61.48129,200,586.687752
-46.70785,200,586.687752
-74.984,200,586.687752
-79.23393,200,586.688252
-33.576065,200,586.688252
-24.681765,200,586.688252
-47.594746,200,586.688252
-37.806297,200,586.688252
-55.186226,200,586.688252
-47.11653,200,586.688252
-67.182205,200,586.688252
-59.66811,200,586.688252
-47.749958,200,586.688252
-57.59064,200,586.688252
-45.130775,200,586.688252
-88.41838,200,586.688252
-50.949142,200,586.688252
-57.07846,200,586.688252
-66.490074,200,586.688252
-42.514256,200,586.688252
-54.128384,200,586.688252
-67.28853,200,586.688252
-47.123547,200,586.688252
-46.17014,200,586.688252
-45.38039,200,586.688252
-29.477268,200,586.688252
-61.97558,200,586.688252
-56.346985,200,586.688252
-43.22857,200,586.688252
-45.63932,200,586.688252
-30.055298,200,586.688252
-32.28301,200,586.688252
-44.568523,200,586.688252
-30.052748,200,586.688252
-43.299976,200,586.688252
-30.95571,200,586.688252
-64.409775,200,586.688252
-62.53371,200,586.688252
-50.5537,200,586.688252
-56.495598,200,586.688252
-46.45319,200,586.688252
-40.486183,200,586.688252
-26.413109,200,586.688252
-32.15089,200,586.688252
-32.539318,200,586.688252
-74.553246,200,586.688252
-39.802116,200,586.688252
-52.79631,200,586.688252
-33.722874,200,586.688252
-51.47443,200,586.688252
-56.84727,200,586.688252
