time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/success_rate,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1026,0.16955991853028535,2392,2457600,-1.5021729946136475,0.6404297709465027,0.01,12288,0.0003,-6.1109355926513675,1490,,,
1043,0.098587276507169,2403,2508800,-1.5396616458892822,0.6327875554561615,0.0,12544,0.0003,-6.168873596191406,1530,,,
1060,0.09478924050927162,2413,2560000,-1.5703474640846253,0.6271192550659179,0.0,12800,0.0003,-6.243542432785034,1560,,,
1077,0.18616071389988065,2422,2611200,-1.60338693857193,0.6214987635612488,0.0,13056,0.0003,-6.334753942489624,1590,,,
1094,0.28184245228767396,2431,2662400,-1.6316639542579652,0.6159301638603211,0.0,13312,0.0003,-6.396824216842651,1620,,,
1112,0.12849831730127334,2439,2713600,-1.659182333946228,0.6104137301445007,0.0,13568,0.0003,-6.4519867420196535,1650,,,
1129,0.31613829433918,2448,2764800,-1.6942443251609802,0.6049438655376435,0.01,13824,0.0003,-6.522205352783203,1680,,,
1146,0.234651012532413,2455,2816000,-1.7229946851730347,0.5995210170745849,0.0,14080,0.0003,-6.5596699714660645,1710,,,
1164,0.21902236212044954,2462,2867200,-1.7518662810325623,0.5941471934318543,0.0,14336,0.0003,-6.631832647323608,1740,,,
1181,0.18959950879216195,2470,2918400,-1.794123899936676,0.5870577752590179,0.0,14592,0.0003,-6.7079824924469,1780,,,
1198,0.18595338016748428,2477,2969600,-1.822196638584137,0.5817944228649139,0.02,14848,0.0003,-6.778583288192749,1810,,,
1216,0.1823715753853321,2483,3020800,-1.8544620513916015,0.5765871226787567,0.0,15104,0.0003,-6.850239419937134,1840,,,
1233,0.1445471577346325,2491,3072000,-1.8833081007003785,0.5714217782020569,0.0,15360,0.0003,-6.89124493598938,1870,,,
1250,0.12481982829049229,2497,3123200,-1.912865447998047,0.5663031935691833,0.0,15616,0.0003,-6.911826276779175,1900,,,
1267,0.1794930225238204,2503,3174400,-1.9443787336349487,0.561232590675354,0.0,15872,0.0003,-7.000878858566284,1930,,,
1284,0.1994899047538638,2510,3225600,-1.9756983280181886,0.5562053263187409,0.0,16128,0.0003,-7.049396610260009,1960,,,
1301,0.16375139402225614,2516,3276800,-2.004173731803894,0.5512213945388794,0.0,16384,0.0003,-7.108959341049195,1990,,,
1318,0.0931228868663311,2523,3328000,-2.04396767616272,0.5446488380432128,0.0,16640,0.0003,-7.127470064163208,2030,,,
1335,0.12448819437995554,2530,3379200,-2.07540876865387,0.5397723555564881,0.01,16896,0.0003,-7.215005683898926,2060,,,
1352,0.08744699023663997,2537,3430400,-2.10713267326355,0.534936648607254,0.0,17152,0.0003,-7.2523222923278805,2090,,,
1368,0.0913204605691135,2543,3481600,-2.1365458726882935,0.5301441490650177,0.0,17408,0.0003,-7.2866983890533445,2120,,,
1386,0.06930200858041644,2548,3532800,-2.1665048599243164,0.5253937423229218,0.0,17664,0.0003,-7.3230701923370365,2150,,,
1403,0.06893261456862092,2552,3584000,-2.196358013153076,0.5206837296485901,0.0,17920,0.0003,-7.3816205024719235,2180,,,
1421,0.06811298835091292,2556,3635200,-2.227408742904663,0.5160188972949982,0.01,18176,0.0003,-7.436405611038208,2210,,,
1439,0.10592043595388531,2561,3686400,-2.259075093269348,0.5113965690135955,0.0,18432,0.0003,-7.460590648651123,2240,,,
1457,0.030125545989722013,2564,3737600,-2.298344588279724,0.505296504497528,0.0,18688,0.0003,-7.494289398193359,2280,,,
1475,0.08844999428838492,2568,3788800,-2.3269526720047,0.5007723212242127,0.0,18944,0.0003,-7.546414518356324,2310,,,
1492,0.08882544413208962,2573,3840000,-2.36075644493103,0.4962860107421875,0.0,19200,0.0003,-7.604554891586304,2340,,,
1509,0.0663270786870271,2577,3891200,-2.3917046785354614,0.4918374866247177,0.0,19456,0.0003,-7.596727991104126,2370,,,
1526,0.06783462008461356,2581,3942400,-2.420360970497131,0.48743062615394595,0.0,19712,0.0003,-7.624793863296508,2400,,,
1544,0.04920858461409807,2585,3993600,-2.4491185426712034,0.4830638378858566,0.01,19968,0.0003,-7.6818273067474365,2430,,,
,0.0895799278281629,,3999744,-2.4583905696868897,0.48161689639091493,,,0.0003,-7.707310056686401,2440,200.0,-52.16214281991124,0.0
1740,0.02964922026731074,2323,4044800,-2.4777926206588745,0.478737536072731,0.0,20224,0.0003,-7.729249715805054,2460,,,
1755,0.03013300374150276,2332,4096000,-2.5062278270721436,0.4744508922100067,0.0,20480,0.0003,-7.759005498886109,2490,,,
1773,0.08617584081366658,2338,4147200,-2.5503861904144287,0.4687949299812317,0.0,20736,0.0003,-7.831352472305298,2530,,,
1790,0.10617519309744239,2344,4198400,-2.5802932262420653,0.46459469199180603,0.0,20992,0.0003,-7.8733734607696535,2560,,,
1808,0.08590655429288745,2349,4249600,-2.6090478181838987,0.4604331970214844,0.0,21248,0.0003,-7.891664648056031,2590,,,
1826,0.009396131336688995,2355,4300800,-2.6406118869781494,0.45630698204040526,0.0,21504,0.0003,-7.9346452236175535,2620,,,
1844,0.008541474305093288,2359,4352000,-2.6737071752548216,0.4522183686494827,0.0,21760,0.0003,-7.960743808746338,2650,,,
1861,0.05005303514190018,2364,4403200,-2.698509359359741,0.4481663256883621,0.0,22016,0.0003,-8.039726972579956,2680,,,
1880,0.06895190998911857,2369,4454400,-2.731685471534729,0.44415231645107267,0.0,22272,0.0003,-8.029216432571411,2710,,,
1896,0.04778628773055971,2375,4505600,-2.7587446928024293,0.44017215073108673,0.0,22528,0.0003,-8.043088054656982,2740,,,
1913,0.04834004207514227,2381,4556800,-2.8034598588943482,0.43492717742919923,0.0,22784,0.0003,-8.044906091690063,2780,,,
1930,0.04879560992121697,2387,4608000,-2.8352993965148925,0.4310318320989609,0.0,23040,0.0003,-8.095141506195068,2810,,,
1947,0.04711370440199971,2392,4659200,-2.8631423473358155,0.427169132232666,0.01,23296,0.0003,-8.099042320251465,2840,,,
1964,0.14146191012114287,2397,4710400,-2.8871685028076173,0.42334204018115995,0.02,23552,0.0003,-8.162458419799805,2870,,,
1982,0.06993369460105896,2402,4761600,-2.9196847438812257,0.41955233812332154,0.0,23808,0.0003,-8.155609226226806,2900,,,
1998,0.12468730509281159,2407,4812800,-2.9521646022796633,0.41579760015010836,0.0,24064,0.0003,-8.177510356903076,2930,,,
2015,0.13219121722504495,2413,4864000,-2.983241415023804,0.41207238733768464,0.01,24320,0.0003,-8.19592809677124,2960,,,
2032,0.21781820710748434,2418,4915200,-3.006708836555481,0.40838138163089754,0.0,24576,0.0003,-8.254724025726318,2990,,,
2049,0.1200689585879445,2423,4966400,-3.0575276136398317,0.40351439714431764,0.0,24832,0.0003,-8.28957223892212,3030,,,
2065,0.08804723508656025,2428,5017600,-3.0838223695755005,0.39990060329437255,0.0,25088,0.0003,-8.311002349853515,3060,,,
2082,0.28478390388190744,2434,5068800,-3.1129947662353517,0.3963195145130157,0.0,25344,0.0003,-8.368459320068359,3090,,,
2098,0.1573384406976402,2439,5120000,-3.141308069229126,0.39277159571647646,0.0,25600,0.0003,-8.383364391326904,3120,,,
2115,0.17410683650523423,2444,5171200,-3.1720953226089477,0.38925513327121736,0.0,25856,0.0003,-8.394797992706298,3150,,,
2132,0.05222524972632527,2449,5222400,-3.2062551975250244,0.38576988875865936,0.01,26112,0.0003,-8.38104314804077,3180,,,
2148,0.1012482538819313,2454,5273600,-3.2318411588668825,0.38231475949287413,0.0,26368,0.0003,-8.406295490264892,3210,,,
2165,0.0863143659196794,2458,5324800,-3.261635184288025,0.3788923233747482,0.01,26624,0.0003,-8.442925357818604,3240,,,
2183,0.06454380806535483,2461,5376000,-3.297042489051819,0.3743771404027939,0.0,26880,0.0003,-8.468467807769775,3280,,,
2200,0.029217378981411458,2465,5427200,-3.335042643547058,0.37102636098861697,0.0,27136,0.0003,-8.485374259948731,3310,,,
2218,0.16070401472970844,2469,5478400,-3.36290385723114,0.3677032023668289,0.0,27392,0.0003,-8.523581981658936,3340,,,
2235,0.10315128294751048,2473,5529600,-3.3927676677703857,0.36441218852996826,0.0,27648,0.0003,-8.518325519561767,3370,,,
2252,0.10463551408611238,2477,5580800,-3.4185393810272218,0.3611514389514923,0.03,27904,0.0003,-8.553719520568848,3400,,,
2269,0.1586322546005249,2481,5632000,-3.4523439168930055,0.35791970789432526,0.0,28160,0.0003,-8.581312370300292,3430,,,
2286,0.1237900484353304,2485,5683200,-3.48122501373291,0.35471569299697875,0.0,28416,0.0003,-8.576307773590088,3460,,,
2302,0.2862685738131404,2490,5734400,-3.515588068962097,0.35154205560684204,0.0,28672,0.0003,-8.619387435913087,3490,,,
2320,0.1032607601955533,2493,5785600,-3.5509607553482057,0.3473531067371368,0.02,28928,0.0003,-8.586317825317384,3530,,,
2338,0.15815964713692665,2496,5836800,-3.5805691957473753,0.3442443460226059,0.01,29184,0.0003,-8.639688491821289,3560,,,
2355,0.22532097212970256,2499,5888000,-3.6126763343811037,0.34116397202014925,0.01,29440,0.0003,-8.659985828399659,3590,,,
2373,0.13857504418119787,2502,5939200,-3.639608073234558,0.3381120592355728,0.0,29696,0.0003,-8.68925495147705,3620,,,
2391,0.18881416954100133,2504,5990400,-3.67488853931427,0.33508622646331787,0.01,29952,0.0003,-8.665322399139404,3650,,,
,0.15345526644960045,,5999616,-3.6841626167297363,0.3340834558010101,,,0.0003,-8.681896018981934,3660,200.0,-44.65378253236413,0.0
2607,0.18460247302427887,2317,6041600,-3.705940103530884,0.3320866286754608,0.0,30208,0.0003,-8.652883148193359,3680,,,
2625,0.12600182928144932,2320,6092800,-3.7339349031448363,0.32911355793476105,0.01,30464,0.0003,-8.661930751800536,3710,,,
2643,0.1743679128587246,2324,6144000,-3.7701252698898315,0.3261677622795105,0.0,30720,0.0003,-8.714653205871581,3740,,,
2660,0.10114387106150388,2328,6195200,-3.8021599769592287,0.32227827310562135,0.0,30976,0.0003,-8.681114101409912,3780,,,
2677,0.21685434896498917,2332,6246400,-3.839479684829712,0.31939527690410613,0.0,31232,0.0003,-8.670049476623536,3810,,,
2695,0.11417867681011558,2336,6297600,-3.860673952102661,0.3165362060070038,0.0,31488,0.0003,-8.673494148254395,3840,,,
2713,0.22170011568814516,2339,6348800,-3.895579385757446,0.3137052893638611,0.0,31744,0.0003,-8.665211486816407,3870,,,
2731,0.19592263996601106,2342,6400000,-3.9268526315689085,0.31089829504489896,0.01,32000,0.0003,-8.681109142303466,3900,,,
2749,0.29307580310851333,2346,6451200,-3.951705050468445,0.3081160694360733,0.02,32256,0.0003,-8.725608634948731,3930,,,
2767,0.14671946484595538,2349,6502400,-3.9845566511154176,0.3053598076105118,0.01,32512,0.0003,-8.67022066116333,3960,,,
2785,0.21714160591363907,2352,6553600,-4.016382217407227,0.30262784063816073,0.0,32768,0.0003,-8.711134910583496,3990,,,
2803,0.2840705506503582,2355,6604800,-4.043996572494507,0.2990254670381546,0.0,33024,0.0003,-8.735692501068115,4030,,,
2821,0.2333187261596322,2358,6656000,-4.083718585968017,0.29635057151317595,0.0,33280,0.0003,-8.810524654388427,4060,,,
2840,0.2065170306712389,2361,6707200,-4.110303735733032,0.2936962187290192,0.01,33536,0.0003,-8.781747913360595,4090,,,
2859,0.1523941384628415,2363,6758400,-4.136858797073364,0.2910694986581802,0.0,33792,0.0003,-8.798410129547118,4120,,,
2878,0.2273963073268533,2365,6809600,-4.16610894203186,0.28846757411956786,0.0,34048,0.0003,-8.835861587524414,4150,,,
2896,0.27643685042858124,2368,6860800,-4.199420738220215,0.2858896732330322,0.0,34304,0.0003,-8.871419906616211,4180,,,
2915,0.19705212600529193,2370,6912000,-4.23379693031311,0.28333249390125276,0.0,34560,0.0003,-8.83680181503296,4210,,,
2934,0.14725628737360238,2372,6963200,-4.253829622268677,0.28079618215560914,0.01,34816,0.0003,-8.828676795959472,4240,,,
2953,0.22913422845304013,2375,7014400,-4.296899461746216,0.27745296955108645,0.0,35072,0.0003,-8.828455066680908,4280,,,
2971,0.1810275124385953,2378,7065600,-4.333169794082641,0.27497316896915436,0.0,35328,0.0003,-8.809223937988282,4310,,,
2990,0.09877616772428155,2380,7116800,-4.363209199905396,0.27251504063606263,0.0,35584,0.0003,-8.75237054824829,4340,,,
3009,0.13258930966258048,2382,7168000,-4.38350739479065,0.27007856369018557,0.02,35840,0.0003,-8.80332908630371,4370,,,
3027,0.2129562350921333,2384,7219200,-4.421045255661011,0.2676664382219315,0.0,36096,0.0003,-8.812627124786378,4400,,,
3047,0.28852450884878633,2385,7270400,-4.440660905838013,0.2652710467576981,0.01,36352,0.0003,-8.841942405700683,4430,,,
3066,0.31459837704896926,2387,7321600,-4.484705448150635,0.2629004240036011,0.0,36608,0.0003,-8.853598308563232,4460,,,
3084,0.2239478349685669,2390,7372800,-4.508047866821289,0.26054829359054565,0.0,36864,0.0003,-8.778338432312012,4490,,,
3103,0.30293847993016243,2391,7424000,-4.543600749969483,0.25744843780994414,0.01,37120,0.0003,-8.81417932510376,4530,,,
3122,0.19478908255696298,2393,7475200,-4.5798852920532225,0.25515104830265045,0.0,37376,0.0003,-8.77119026184082,4560,,,
3140,0.2262643501162529,2396,7526400,-4.60088152885437,0.25287051498889923,0.0,37632,0.0003,-8.797263431549073,4590,,,
3158,0.2081030286848545,2399,7577600,-4.635677814483643,0.2506100594997406,0.01,37888,0.0003,-8.773935699462891,4620,,,
3177,0.20123651772737502,2401,7628800,-4.667361545562744,0.24837132841348647,0.02,38144,0.0003,-8.794975757598877,4650,,,
3195,0.1936722405254841,2403,7680000,-4.678795719146729,0.24615329653024673,0.0,38400,0.0003,-8.791450119018554,4680,,,
3214,0.13024512864649296,2405,7731200,-4.716523122787476,0.24395618885755538,0.02,38656,0.0003,-8.73078088760376,4710,,,
3232,0.16773126572370528,2407,7782400,-4.7509002685546875,0.24177812188863754,0.0,38912,0.0003,-8.717274188995361,4740,,,
3251,0.24659636244177818,2409,7833600,-4.784621238708496,0.23890354335308076,0.01,39168,0.0003,-8.770738983154297,4780,,,
3269,0.15963128060102463,2411,7884800,-4.830454683303833,0.2367704316973686,0.0,39424,0.0003,-8.748523616790772,4810,,,
3288,0.22426206693053247,2413,7936000,-4.842224216461181,0.2346535623073578,0.01,39680,0.0003,-8.750991725921631,4840,,,
3306,0.302614127099514,2415,7987200,-4.87480902671814,0.2325570896267891,0.0,39936,0.0003,-8.857086849212646,4870,,,
,0.17257453463971614,,7999488,-4.870328760147094,0.23186311423778533,,,0.0003,-8.729068374633789,4880,200.0,-39.54583083614707,0.0
3523,0.2859317108988762,2281,8038400,-4.899504566192627,0.23048361241817475,0.01,40192,0.0003,-8.848158931732177,4900,,,
3542,0.2537006840109825,2283,8089600,-4.9284178733825685,0.2284245029091835,0.02,40448,0.0003,-8.791894340515137,4930,,,
3560,0.2635017618536949,2286,8140800,-4.9588089942932125,0.22639080435037612,0.0,40704,0.0003,-8.775070953369141,4960,,,
3579,0.22259913086891175,2288,8192000,-4.984954929351806,0.22437044084072114,0.0,40960,0.0003,-8.771652030944825,4990,,,
3598,0.20963916108012198,2290,8243200,-5.032665109634399,0.22170193493366241,0.01,41216,0.0003,-8.782725429534912,5030,,,
3616,0.1960110493004322,2293,8294400,-5.06173005104065,0.21972150951623917,0.0,41472,0.0003,-8.787325668334962,5060,,,
3635,0.2647620290517807,2295,8345600,-5.068479776382446,0.21776402592658997,0.02,41728,0.0003,-8.800667095184327,5090,,,
3653,0.2091295376420021,2298,8396800,-5.08742504119873,0.21582308709621428,0.01,41984,0.0003,-8.771798133850098,5120,,,
3672,0.3250166103243828,2300,8448000,-5.1407417297363285,0.2138980507850647,0.05,42240,0.0003,-8.797271347045898,5150,,,
3691,0.2501416116952896,2302,8499200,-5.188288450241089,0.21199090480804444,0.0,42496,0.0003,-8.61287727355957,5180,,,
3709,0.36430044621229174,2304,8550400,-5.204519557952881,0.21009989827871323,0.03,42752,0.0003,-8.836211681365967,5210,,,
3728,0.28103668317198754,2307,8601600,-5.229568767547607,0.20822828114032746,0.01,43008,0.0003,-8.698196506500244,5240,,,
3747,0.2476619675755501,2308,8652800,-5.2107579708099365,0.20576056241989135,0.01,43264,0.0003,-8.729703044891357,5280,,,
3765,0.2509464621543884,2311,8704000,-5.308224868774414,0.20393341928720474,0.02,43520,0.0003,-8.762772464752198,5310,,,
3783,0.3262323349714279,2314,8755200,-5.296228694915771,0.2021133929491043,0.0,43776,0.0003,-8.805263328552247,5340,,,
3802,0.32745458781719206,2316,8806400,-5.365060186386108,0.20031361430883407,0.0,44032,0.0003,-8.774965381622314,5370,,,
3820,0.21819344758987427,2318,8857600,-5.3665687084198,0.19852663278579713,0.03,44288,0.0003,-8.726211547851562,5400,,,
3838,0.2666562244296074,2320,8908800,-5.427511835098267,0.1967611864209175,0.0,44544,0.0003,-8.739407634735107,5430,,,
3856,0.2931065782904625,2323,8960000,-5.39838228225708,0.19500985145568847,0.0,44800,0.0003,-8.795811080932618,5460,,,
3874,0.23564565926790237,2325,9011200,-5.508806753158569,0.1932794287800789,0.02,45056,0.0003,-8.630164623260498,5490,,,
3892,0.2876913666725159,2327,9062400,-5.474880790710449,0.1909831941127777,0.0,45312,0.0003,-8.673761463165283,5530,,,
3911,0.22533208206295968,2329,9113600,-5.507310056686402,0.1892855852842331,0.01,45568,0.0003,-8.636664772033692,5560,,,
3930,0.23939238786697387,2331,9164800,-5.583307266235352,0.1876012921333313,0.02,45824,0.0003,-8.681132793426514,5590,,,
3950,0.3182772181928158,2333,9216000,-5.536805772781372,0.1859344407916069,0.0,46080,0.0003,-8.69828634262085,5620,,,
3969,0.28309163972735407,2334,9267200,-5.556160259246826,0.1842895671725273,0.0,46336,0.0003,-8.56178159713745,5650,,,
3988,0.305892314016819,2336,9318400,-5.650451374053955,0.18266168534755706,0.0,46592,0.0003,-8.625487232208252,5680,,,
4007,0.3618634805083275,2337,9369600,-5.646230745315552,0.18103126883506776,0.02,46848,0.0003,-8.579952239990234,5710,,,
4027,0.23948109298944473,2339,9420800,-5.675750303268432,0.17942080795764923,0.01,47104,0.0003,-8.359650230407714,5740,,,
4047,0.3718352884054184,2340,9472000,-5.751200914382935,0.17730959951877595,0.0,47360,0.0003,-8.71247034072876,5780,,,
4066,0.2524976313114166,2341,9523200,-5.725456428527832,0.17573486566543578,0.01,47616,0.0003,-8.58223466873169,5810,,,
4086,0.28815909177064897,2343,9574400,-5.752093362808227,0.1741757035255432,0.01,47872,0.0003,-8.542720317840576,5840,,,
4106,0.23940255492925644,2344,9625600,-5.798094797134399,0.1726356640458107,0.0,48128,0.0003,-8.532550621032716,5870,,,
4124,0.2742453470826149,2346,9676800,-5.879569959640503,0.17110054045915604,0.0,48384,0.0003,-8.590028667449952,5900,,,
4143,0.41548643410205843,2348,9728000,-5.805415487289428,0.16957392692565917,0.01,48640,0.0003,-8.556056213378906,5930,,,
4161,0.48902155458927155,2349,9779200,-5.8696699142456055,0.1680871069431305,0.03,48896,0.0003,-8.58904218673706,5960,,,
4181,0.43656772673130034,2350,9830400,-5.965411853790283,0.16661107093095778,0.01,49152,0.0003,-8.562418556213379,5990,,,
4201,0.47825789675116537,2351,9881600,-5.837990570068359,0.1646387457847595,0.0,49408,0.0003,-8.399288177490234,6030,,,
4220,0.5493535444140434,2353,9932800,-5.996141672134399,0.16319372802972792,0.0,49664,0.0003,-8.274366998672486,6060,,,
4239,0.4043009728193283,2354,9984000,-5.970928096771241,0.16174811869859695,0.0,49920,0.0003,-8.277565383911133,6090,,,
,0.3215628057718277,,9999360,-6.0653603076934814,0.16127003580331803,,,0.0003,-8.441780376434327,6100,200.0,-43.783218334242704,0.0
4455,0.32662106305360794,2252,10035200,-6.026313972473145,0.16030787974596022,0.01,50176,0.0003,-8.468890380859374,6120,,,
4474,0.423865282535553,2254,10086400,-5.963794183731079,0.15888408273458482,0.01,50432,0.0003,-8.617201328277588,6150,,,
4493,0.306668196618557,2256,10137600,-5.969588375091552,0.15748926401138305,0.02,50688,0.0003,-8.455315446853637,6180,,,
4512,0.27099796533584597,2258,10188800,-6.079350328445434,0.15610208958387375,0.02,50944,0.0003,-8.274388980865478,6210,,,
4531,0.32193645760416983,2259,10240000,-6.184334802627563,0.15471439361572265,0.03,51200,0.0003,-8.346535587310791,6240,,,
4550,0.37090565711259843,2261,10291200,-6.166264581680298,0.1528992772102356,0.01,51456,0.0003,-8.253651332855224,6280,,,
4569,0.3362542808055878,2263,10342400,-6.061291027069092,0.1515539139509201,0.0,51712,0.0003,-8.220528078079223,6310,,,
4586,0.2541360974311829,2266,10393600,-6.242262458801269,0.15022743344306946,0.02,51968,0.0003,-8.171725034713745,6340,,,
4605,0.3204724505543709,2267,10444800,-6.138054275512696,0.14889459758996965,0.0,52224,0.0003,-8.263264608383178,6370,,,
4623,0.22928053811192511,2269,10496000,-6.267404174804687,0.14757900685071945,0.0,52480,0.0003,-8.111033201217651,6400,,,
4642,0.3348808214068413,2271,10547200,-6.1771949291229244,0.14627087861299515,0.01,52736,0.0003,-8.318646669387817,6430,,,
4661,0.3784258335828781,2273,10598400,-6.224092674255371,0.1450000986456871,0.0,52992,0.0003,-8.343955802917481,6460,,,
