train/value_loss,train/entropy_loss,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,time/total_timesteps,train/std,time/iterations,train/clip_fraction,train/approx_kl,train/clip_range,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.2934597380226478,-2.53757073674351,0.9664440415799618,2350,-11.073053959999998,-0.0014771198973903665,550,458752,0.8586755990982056,56,0.18336181640625,0.015991071,0.2,100.0,195,0.00025494399999999995,0.10045687854290009,,,
0.6672377062408487,-2.508153223246336,0.953715555369854,2497,-11.59302256,0.00023430253349943087,590,491520,0.847517192363739,60,0.14967041015625,0.015418708,0.2,100.0,196,0.0002516672,0.17086277902126312,,,
0.7707451413734816,-2.478700746782124,0.9410081952810287,2643,-11.187760390000001,-0.0031909381221339574,630,524288,0.8381038308143616,64,0.17625732421875,0.014111018,0.2,100.0,198,0.0002483904,0.9696768522262573,,,
0.3633980890735984,-2.5044296629726888,0.9532633535563946,2790,-10.596775880000001,-0.0018126065046089935,670,557056,0.8518669605255127,68,0.16995849609375,0.01646249,0.2,100.0,199,0.0002451136,0.21555978059768677,,,
0.1970454673632048,-2.5284383626654745,0.9694418087601662,2936,-10.7717372,-0.0012020787482470042,710,589824,0.8598835468292236,72,0.179345703125,0.015318855,0.2,100.0,200,0.00024183679999999997,0.0852513462305069,,,
0.5573044007120188,-2.4910121908411385,0.9538292288780212,,,-0.0017914700922119664,730,600000,0.8448624014854431,,0.14725341796875,0.014632324,0.2,,,0.00024019839999999998,0.12672379612922668,0.0,-10.391120169999999,100.0
0.3412251508154441,-2.512915791384876,0.9694942124187946,3207,-11.184971249999998,-0.00237083109204832,750,622592,0.8601784706115723,76,0.16016845703125,0.014470832,0.2,100.0,194,0.00023856,0.06607910990715027,,,
0.5016837866045535,-2.5024034585803747,0.9534174725413322,3354,-10.914783719999997,-0.0012860663107858272,790,655360,0.8530038595199585,80,0.157080078125,0.015579062,0.2,100.0,195,0.00023528319999999996,0.12490596622228622,,,
0.6912522247759625,-2.433733101002872,0.9301759749650955,3500,-11.040596970000001,-0.0024018804942897987,830,688128,0.8248230218887329,84,0.16966552734375,0.016732164,0.2,100.0,196,0.00023200639999999996,0.11903609335422516,,,
0.30132417973363773,-2.4342157067731023,0.9728592354804277,3647,-10.46449247,-0.0011990086110017727,870,720896,0.8216956853866577,88,0.1667724609375,0.013591843,0.2,100.0,197,0.00022872959999999999,0.03982884809374809,,,
