time/total_timesteps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef_loss,rollout/success_rate,time/time_elapsed,train/ent_coef,time/fps,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1894400,9472,29440,3.165328072384,25.427889578044415,0.0003,0.3170962880831212,0.01,1291,0.004427741710969713,1467,,,
1945600,9728,30208,2.0070499191060662,60.658062843605876,0.0003,2.101688652765006,0.04,1324,0.004799142538104206,1468,,,
1996800,9984,31040,0.9191205366514623,122.7978500239551,0.0003,0.9556872230023146,0.03,1359,0.005514136872079689,1468,,,
1999872,,31104,1.213053890503943,66.70524528436363,0.0003,0.7444014283828437,,,0.005581728844845202,,200.0,-50.716496313611664,0.0
2048000,10240,31808,2.4255272801965475,76.81380467116833,0.0003,-0.19177071354351938,0.02,1544,0.006102699182520155,1326,,,
2099200,10496,32640,-0.32164619769901037,71.10709539428353,0.0003,-0.425457114353776,0.05,1580,0.007226945490401704,1328,,,
2150400,10752,33408,-2.866264690645039,106.9340254701674,0.0003,2.352777073625475,0.03,1615,0.007524940396251623,1331,,,
2201600,11008,34240,-1.9807332064956427,102.40336241573095,0.0003,1.7258554684231058,0.02,1652,0.009438538807444274,1332,,,
2252800,11264,35008,-5.043172851204872,96.99271778017282,0.0003,0.7196428717579693,0.04,1688,0.01097841233422514,1334,,,
2304000,11520,35840,-7.622018959373236,103.45810439810157,0.0003,0.730299364309758,0.09,1724,0.013108177983667701,1336,,,
2355200,11776,36608,-9.62553934007883,382.30551892519,0.0003,-0.39295328105799854,0.13,1758,0.013684569188626483,1339,,,
2406400,12032,37440,-10.567809044383466,193.69617910683155,0.0003,-0.38163469173014164,0.02,1795,0.016439213941339403,1340,,,
2457600,12288,38208,-13.57546323724091,75.80078867077827,0.0003,-0.17199653619900346,0.09,1830,0.017268117371713743,1342,,,
2508800,12544,39040,-16.14887898415327,127.84614432603121,0.0003,0.057241991511546075,0.1,1867,0.018361878290306777,1343,,,
2560000,12800,39808,-17.380315337330103,264.1950807645917,0.0003,0.1855983508285135,0.04,1906,0.019142784061841667,1342,,,
2611200,13056,40640,-21.57551471143961,198.75259658694267,0.0003,-0.39023326453752816,0.13,1945,0.020909441402181983,1342,,,
2662400,13312,41408,-25.5403121560812,77.89363365620375,0.0003,1.6002855715341866,0.06,1980,0.02288533526007086,1344,,,
2713600,13568,42240,-26.752017363905907,276.63456992059946,0.0003,0.367938764160499,0.1,2017,0.02569162385771051,1344,,,
2764800,13824,43008,-31.108655124902725,191.55517119169235,0.0003,1.8276136574568227,0.11,2053,0.027193899702979252,1346,,,
2816000,14080,43840,-33.81236523389816,178.15023980289698,0.0003,0.7299607746535912,0.07,2089,0.032244622183497995,1347,,,
2867200,14336,44608,-35.43223759531975,301.7339594066143,0.0003,0.1896720309741795,0.09,2124,0.0344526658882387,1349,,,
