train/learning_rate,train/actor_loss,train/critic_loss,time/time_elapsed,train/ent_coef,train/ent_coef_loss,time/total_timesteps,rollout/success_rate,time/fps,time/episodes,train/n_updates,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0003,-6.531862258911133,0.31626281663775446,1435,0.6049437880516052,-1.6942325234413147,2764800,0.01,1925,13824,1680,,,
0.0003,-6.568694972991944,0.23492177231237293,1453,0.5995209813117981,-1.7229798793792725,2816000,0.0,1937,14080,1710,,,
0.0003,-6.641752004623413,0.21921288510784506,1470,0.5941471576690673,-1.75184805393219,2867200,0.0,1949,14336,1740,,,
0.0003,-6.7164360046386715,0.18960449229925871,1487,0.5870578169822693,-1.794137680530548,2918400,0.0,1961,14592,1780,,,
0.0003,-6.78865876197815,0.1859336771070957,1505,0.5817944705486298,-1.82221839427948,2969600,0.02,1972,14848,1810,,,
0.0003,-6.86164493560791,0.16434934586286545,1522,0.5765871644020081,-1.854411542415619,3020800,0.0,1983,15104,1840,,,
0.0003,-6.9011969566345215,0.14430029764771463,1539,0.5714218497276307,-1.8833216071128844,3072000,0.0,1995,15360,1870,,,
0.0003,-6.925960540771484,0.14479221254587174,1556,0.566303139925003,-1.9129095315933227,3123200,0.0,2005,15616,1900,,,
0.0003,-7.025076627731323,0.27328576911240815,1574,0.5612323582172394,-1.944398331642151,3174400,0.0,2016,15872,1930,,,
0.0003,-7.06263484954834,0.2372584143653512,1592,0.5562050938606262,-1.975633931159973,3225600,0.0,2025,16128,1960,,,
0.0003,-7.121149778366089,0.1639738203957677,1609,0.5512212216854095,-2.0040985584259032,3276800,0.0,2035,16384,1990,,,
0.0003,-7.1406127452850345,0.09285074835643173,1627,0.5446489930152894,-2.043926310539246,3328000,0.0,2044,16640,2030,,,
0.0003,-7.2286810874938965,0.1248854162171483,1645,0.5397725522518158,-2.075366997718811,3379200,0.01,2054,16896,2060,,,
0.0003,-7.258056592941284,0.10710658812895417,1661,0.5349367797374726,-2.1073689699172973,3430400,0.0,2064,17152,2090,,,
0.0003,-7.303303670883179,0.12919452814385296,1677,0.5301439225673675,-2.136534643173218,3481600,0.0,2074,17408,2120,,,
0.0003,-7.34739499092102,0.14609559020027518,1695,0.5253936111927032,-2.1664226055145264,3532800,0.0,2084,17664,2150,,,
0.0003,-7.389353704452515,0.08797774240374565,1712,0.520683866739273,-2.1964264154434203,3584000,0.0,2093,17920,2180,,,
0.0003,-7.450252056121826,0.0683016105554998,1729,0.5160189151763916,-2.2273946523666384,3635200,0.01,2101,18176,2210,,,
0.0003,-7.476069784164428,0.10561137860640883,1747,0.5113965690135955,-2.2590798139572144,3686400,0.0,2110,18432,2240,,,
0.0003,-7.508182573318481,0.04902876224368811,1764,0.5052962601184845,-2.2983760595321656,3737600,0.0,2117,18688,2280,,,
0.0003,-7.555783796310425,0.08928447728976607,1782,0.500772112607956,-2.3268391847610475,3788800,0.0,2125,18944,2310,,,
0.0003,-7.613357210159302,0.12684674561023712,1799,0.4962858557701111,-2.360675024986267,3840000,0.0,2133,19200,2340,,,
0.0003,-7.6133490085601805,0.06734243426471949,1817,0.4918375998735428,-2.391681599617004,3891200,0.0,2141,19456,2370,,,
0.0003,-7.639100646972656,0.06791871944442392,1834,0.48743073642253876,-2.4202967166900633,3942400,0.0,2148,19712,2400,,,
0.0003,-7.69949517250061,0.06876918412744999,1851,0.4830639064311981,-2.449133849143982,3993600,0.01,2157,19968,2430,,,
0.0003,-7.720009279251099,0.1078815788961947,,0.4816169530153275,-2.4583865880966185,3999744,,,,2440,-51.03212821364403,200.0,0.0
0.0003,-7.746211671829224,0.030971309868618846,2366,0.4787375807762146,-2.4777060031890867,4044800,0.0,1709,20224,2460,,,
0.0003,-7.774077320098877,0.030832679569721223,2383,0.4744508534669876,-2.5063536405563354,4096000,0.0,1718,20480,2490,,,
0.0003,-7.841266345977783,0.08577037863433361,2400,0.4687947601079941,-2.5504334688186647,4147200,0.0,1727,20736,2530,,,
0.0003,-7.887879800796509,0.10623588003218173,2418,0.4645944744348526,-2.5802365064620973,4198400,0.0,1736,20992,2560,,,
0.0003,-7.902895259857178,0.08578182002529502,2435,0.4604330509901047,-2.608993983268738,4249600,0.0,1744,21248,2590,,,
0.0003,-7.947819757461548,0.010042540170252323,2452,0.4563068449497223,-2.640613484382629,4300800,0.0,1753,21504,2620,,,
0.0003,-7.9701989650726315,0.009104827791452408,2471,0.45221823155879975,-2.673768901824951,4352000,0.0,1760,21760,2650,,,
0.0003,-8.050132894515992,0.050666566984727976,2488,0.44816613793373106,-2.69849579334259,4403200,0.0,1769,22016,2680,,,
0.0003,-8.036381196975707,0.06955732530914246,2504,0.4441521346569061,-2.731784200668335,4454400,0.0,1778,22272,2710,,,
