#{"t_start": 1782345158.6580584, "env_id": "None"}
r,l,t
-78.38088,200,156.197616
-79.87816,200,156.197616
-79.22877,200,156.197616
-62.366703,200,156.197616
-38.297768,200,156.198115
-57.138336,200,156.198115
-45.91159,200,156.198115
-69.973015,200,156.198115
-78.36352,200,156.198115
-81.863396,200,156.198115
-32.377728,200,156.198115
-76.39133,200,156.198115
-48.501614,200,156.198115
-34.36953,200,156.198115
-55.467655,200,156.198115
-33.57201,200,156.198115
-35.473225,200,156.198115
-77.16167,200,156.198115
-89.614784,200,156.198115
-67.79097,200,156.198115
-41.057735,200,156.198115
-50.640255,200,156.198115
-41.219463,200,156.198115
-48.409683,200,156.198115
-38.251778,200,156.198115
-59.060684,200,156.198115
-33.2039,200,156.198115
-41.06693,200,156.198115
-55.517776,200,156.198115
-67.1172,200,156.198115
-46.79481,200,156.198115
-62.922215,200,156.198115
-42.45593,200,156.198115
-62.276466,200,156.198115
-35.057976,200,156.198115
-65.21858,200,156.198115
-39.63638,200,156.198115
-29.110796,200,156.198115
-34.821987,200,156.198115
-32.201622,200,156.198115
-43.599613,200,156.198115
-72.766785,200,156.198115
-59.902405,200,156.198115
-43.692352,200,156.198115
-66.34951,200,156.198115
-54.508987,200,156.198115
-32.918705,200,156.198115
-34.990738,200,156.198115
-34.309547,200,156.198115
-54.59341,200,156.198115
-37.63534,200,156.198115
-38.6655,200,156.198115
-33.724068,200,156.198115
-61.3297,200,156.198115
-37.808582,200,156.198115
-51.886868,200,156.198115
-55.239197,200,156.198115
-34.86358,200,156.198115
-52.456272,200,156.198115
-39.672028,200,156.198115
-69.101135,200,156.198115
-32.07149,200,156.198115
-52.019184,200,156.198115
-70.45424,200,156.198115
-62.577633,200,156.198115
-81.54,200,156.198115
-52.891354,200,156.198115
-64.75642,200,156.198115
-61.501457,200,156.198115
-63.8711,200,156.198115
-42.02449,200,156.198115
-52.77849,200,156.198115
-58.58288,200,156.198115
-75.24953,200,156.198115
-56.332325,200,156.198115
-34.925194,200,156.198115
-32.3785,200,156.198115
-35.345924,200,156.198115
-50.26673,200,156.198115
-44.679317,200,156.198115
-63.313602,200,156.198115
-66.39017,200,156.198115
-62.824005,200,156.198115
-33.15162,200,156.198115
-43.90018,200,156.198115
-46.745556,200,156.198115
-43.893738,200,156.198115
-45.29927,200,156.198115
-37.63355,200,156.198115
-30.301579,200,156.198115
-36.943336,200,156.198115
-42.134636,200,156.198115
-57.360718,200,156.198115
-28.015686,200,156.198115
-48.56516,200,156.198115
-31.470177,200,156.198115
-45.237675,200,156.198115
-44.030243,200,156.198615
-64.675186,200,156.198615
-37.60607,200,156.198615
-31.778824,200,156.198615
-49.841114,200,156.198615
-36.691025,200,156.198615
-67.58252,200,156.198615
-55.03144,200,156.198615
-76.68628,200,156.198615
-53.154854,200,156.198615
-82.11277,200,156.198615
-50.567497,200,156.198615
-48.192104,200,156.198615
-43.305714,200,156.198615
-82.1659,200,156.198615
-51.318573,200,156.198615
-44.660637,200,156.198615
-41.03511,200,156.198615
-37.275204,200,156.198615
-44.842773,200,156.198615
-60.235256,200,156.198615
-44.7546,200,156.198615
-81.005806,200,156.198615
-45.66172,200,156.198615
-62.83016,200,156.198615
-52.19143,200,156.198615
-60.07779,200,156.198615
-38.234352,200,156.198615
-47.34507,200,156.198615
-47.57543,200,156.198615
-47.757378,200,156.198615
-62.51469,200,156.198615
-81.17072,200,156.198615
-38.59841,200,156.198615
-29.248632,200,156.198615
-50.467037,200,156.198615
-48.76975,200,156.198615
-73.25452,200,156.198615
-74.02868,200,156.198615
-62.502285,200,156.198615
-50.79442,200,156.198615
-43.725937,200,156.198615
-50.871853,200,156.198615
-67.36382,200,156.198615
-37.886753,200,156.198615
-30.7577,200,156.198615
-69.94199,200,156.198615
-43.14462,200,156.198615
-34.98276,200,156.198615
-41.652725,200,156.198615
-43.8308,200,156.198615
-42.79922,200,156.198615
-32.745323,200,156.198615
-53.601913,200,156.198615
-36.90441,200,156.198615
-41.30843,200,156.198615
-39.987995,200,156.198615
-40.941097,200,156.198615
-54.75286,200,156.198615
-33.76957,200,156.198615
-67.460365,200,156.198615
-64.098625,200,156.198615
-78.73515,200,156.198615
-37.28051,200,156.198615
-46.849316,200,156.198615
-46.764587,200,156.198615
-63.103645,200,156.198615
-61.610523,200,156.198615
-85.18566,200,156.198615
-36.673462,200,156.198615
-34.7135,200,156.198615
-48.15567,200,156.198615
-40.21675,200,156.198615
-44.890694,200,156.198615
-42.00679,200,156.198615
-36.287918,200,156.198615
-60.28537,200,156.198615
-41.849564,200,156.198615
-62.073986,200,156.198615
-75.93118,200,156.198615
-38.98527,200,156.198615
-45.01216,200,156.198615
-37.938133,200,156.198615
-56.812862,200,156.198615
-43.49784,200,156.198615
-34.548416,200,156.198615
-59.78532,200,156.199117
-31.931099,200,156.199117
-26.278458,200,156.199117
-47.22246,200,156.199117
-59.0998,200,156.199117
-60.363537,200,156.199117
-64.65728,200,156.199117
-35.65077,200,156.199117
-72.17425,200,156.199117
-48.596363,200,156.199117
-45.230045,200,156.199117
-46.232174,200,156.199117
-80.34436,200,156.199117
-60.630722,200,156.199117
-31.288473,200,156.199117
-48.13294,200,156.199117
-53.90699,200,156.199117
-33.774494,200,156.199117
-56.08852,200,156.199117
-64.12399,200,156.199117
-48.160297,200,156.199117
-56.098602,200,156.199117
-55.415997,200,156.199117
-51.184013,200,156.199117
-60.340836,200,156.199117
-71.53566,200,156.199117
-56.34182,200,156.199117
-51.46575,200,156.199117
-79.253914,200,156.199117
-43.016563,200,156.199117
-31.527403,200,156.199117
-67.58285,200,156.199117
-42.163315,200,156.199117
-67.43935,200,156.199117
-48.70488,200,156.199117
-35.719692,200,156.199117
