time/iterations,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/clip_range,time/fps,train/n_updates,train/approx_kl,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/std,time/time_elapsed,train/entropy_loss,train/loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
64,100.0,0.9995339545421302,0.0002483904,0.2,187,630,0.0063389675,524288,-15.810858589999999,-0.00206424752723251,0.019237281451933087,0.7864466905593872,2802,-2.341219664923847,-0.028972964733839035,0.079443359375,,,
68,100.0,0.9994296282529831,0.0002451136,0.2,188,670,0.0075274576,557056,-16.059351220000003,-0.0013480709087161813,0.019263445258548017,0.7818717956542969,2961,-2.325172480382025,-0.030566807836294174,0.08712158203125,,,
72,100.0,0.9992532326723449,0.00024183679999999997,0.2,189,710,0.008380062,589824,-16.05396,-0.0028064122267096535,0.021553436257818248,0.7635458111763,3110,-2.2859207632020118,-0.013131601735949516,0.08914794921875,,,
,,0.999416382459458,0.00024019839999999998,0.2,,730,0.0068967855,600000,,-0.001946304677403532,0.017761582478124184,0.7638919949531555,,-2.284633944183588,-0.014711923897266388,0.0852783203125,0.0,-15.398540989999999,100.0
76,100.0,0.9993084691814147,0.00023856,0.2,186,750,0.0070854723,622592,-16.50599733,-0.0004888459683570545,0.022850403157644906,0.757115364074707,3339,-2.2668147591874,-0.012137691490352154,0.08863525390625,,,
80,100.0,0.9992946480051614,0.00023528319999999996,0.2,188,790,0.008164134,655360,-14.89835741,-0.002133163353209966,0.019884496786107774,0.7328461408615112,3479,-2.209957407414913,-0.0176563560962677,0.09473876953125,,,
84,100.0,0.9996372174064163,0.00023200639999999996,0.2,190,830,0.00825619,688128,-15.69457084,-0.0019040730174310738,0.017781890637706965,0.7278691530227661,3621,-2.1894746204838156,-0.04624994844198227,0.0868408203125,,,
,,0.999225984851364,0.00023036799999999997,0.2,,850,0.0075980825,700000,,-0.0020389554869325367,0.022446693845267873,0.7268342971801758,,-2.175240570679307,0.0039697736501693726,0.0870361328125,0.02,-15.142724730000003,100.0
88,100.0,0.9992786095826887,0.00022872959999999999,0.2,187,870,0.009320343,720896,-16.07607359,-0.0032188737000979017,0.018876956387248355,0.7364052534103394,3834,-2.199266332574189,0.003386588767170906,0.09444580078125,,,
92,100.0,0.9995404307264835,0.00022545279999999998,0.2,191,910,0.008394526,753664,-16.254096280000002,-0.0010783312398416455,0.016863024602571386,0.7487781643867493,3939,-2.2360552847385406,-0.035120755434036255,0.07864990234375,,,
