train/n_updates,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,time/fps,train/actor_loss,rollout/success_rate,time/total_timesteps,train/ent_coef_loss,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
359920,0.0016596051646047272,7360,0.0003,0.007671768689760938,196,1.5383948385715485,0.93,1449728,0.19220370147377253,14400,,,
360560,0.0016978337444015779,7373,0.0003,0.008122411993099377,196,1.532604843378067,0.94,1452288,0.46483839489519596,14464,,,
361312,0.0017113056164816953,7387,0.0003,0.00995490129571408,196,1.5522458851337433,0.94,1455296,-0.6394234541803598,14528,,,
361904,0.0017147615071735345,7399,0.0003,0.011639012940577231,197,1.5303155854344368,0.95,1457664,0.15483204182237387,14592,,,
362496,0.0016672921337885782,7410,0.0003,0.01243528497434454,197,1.4852742925286293,0.9,1460032,0.007678740657866001,14656,,,
362960,0.0016608623263891786,7420,0.0003,0.012239156902069226,197,1.5051678493618965,0.91,1461888,-0.16263764770701528,14720,,,
363536,0.0016800094017526135,7431,0.0003,0.005493756318173837,197,1.5291249826550484,0.91,1464192,-0.013890943489968777,14784,,,
364144,0.0016705425223335624,7444,0.0003,0.010954827572277281,197,1.5125395953655243,0.96,1466624,-0.10109874978661537,14848,,,
364736,0.001649782236199826,7455,0.0003,0.008328934636665508,197,1.4799653589725494,0.94,1468992,0.6777363512665033,14912,,,
365360,0.0017793446313589811,7467,0.0003,0.008844991891237441,197,1.523623950779438,0.94,1471488,-1.569730231538415,14976,,,
366016,0.0017695755523163825,7479,0.0003,0.00780917689553462,197,1.5262554660439491,0.92,1474112,-0.93114317022264,15040,,,
366736,0.0017893591066240333,7493,0.0003,0.010733878858445678,197,1.4858884140849113,0.88,1476992,0.8272790787741542,15104,,,
367696,0.0018107905052602291,7511,0.0003,0.011054119742766488,197,1.4890027269721031,0.88,1480832,-0.02134244702756405,15168,,,
368464,0.001833901296777185,7525,0.0003,0.007858130826207343,197,1.4964600801467896,0.87,1483904,-0.23071915237233043,15232,,,
369216,0.0017761504714144394,7539,0.0003,0.012411125215294305,197,1.4957504123449326,0.87,1486912,-0.27800465282052755,15296,,,
369760,0.0018240873178001493,7550,0.0003,0.008036497165448964,197,1.4904203340411186,0.85,1489088,-0.3830773811787367,15360,,,
370368,0.001743638567859307,7566,0.0003,0.010320268404029775,197,1.481594555079937,0.9,1491520,-0.4861969933845103,15424,,,
370832,0.0017008147551678121,7577,0.0003,0.012652442477701697,197,1.4847222715616226,0.95,1493376,-0.059869712218642235,15488,,,
371392,0.0018211364877060987,7587,0.0003,0.0059874723956454545,197,1.4803918674588203,0.96,1495616,0.43135214503854513,15552,,,
372064,0.001840825738327112,7600,0.0003,0.008655887744680513,197,1.5050226673483849,0.96,1498304,0.03747827187180519,15616,,,
372752,0.0018018341797869653,7614,0.0003,0.009930974476446863,197,1.490439534187317,0.89,1501056,0.11127041094005108,15680,,,
373392,0.0017015013581840321,7626,0.0003,0.007438871776685119,197,1.472341664135456,0.93,1503616,0.4020260013639927,15744,,,
