rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,eval/mean_ep_length,train/value_loss,train/clip_fraction,train/loss,train/std,eval/mean_reward,eval/success_rate,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/approx_kl
,,11993088,,,,67.32,0.09476451475529757,0.09234752655029296,0.012144464999437332,0.8245348334312439,-11.043018341064453,0.76,0.0003077610666666667,0.2,-0.003479805997653784,0.9078301638364792,-2.450528408354148,440,0.008091433
-12.329398,4703,12058624,2563,65.68,23,,,,,,,,,,,,,,
-10.820987,4699,12582912,2677,63.34,24,,0.09461842576201888,0.08982810974121094,0.008032582700252533,0.8124579787254333,,,0.0002990229333333333,0.2,-0.003050806446719889,0.9104393795132637,-2.4260184303391723,460,0.007824391
,,12992512,,,,52.66,0.09448760005179793,0.09049997329711915,0.023696837946772575,0.8049394488334656,-8.537994384765625,0.82,0.00029028480000000003,0.2,-0.00263910151197706,0.9127421528100967,-2.4002400724682955,480,0.007788553
-15.785076,4657,13107200,2814,76.49,25,,,,,,,,,,,,,,
-14.899562,4654,13631488,2928,75.98,26,,0.08842352363135433,0.09366235733032227,0.015474939718842506,0.7967569828033447,,,0.00028154666666666667,0.2,-0.0026396260034402983,0.917562946677208,-2.3808081140974537,500,0.008203732
,,13991936,,,,64.16,0.08799281111969322,0.09265518188476562,0.020894791930913925,0.7883881330490112,-13.131375312805176,0.76,0.0002728085333333333,0.2,-0.0023957354315029987,0.9202402606606483,-2.363648020476103,520,0.007752998
-10.024202,4617,14155776,3065,51.73,27,,,,,,,,,,,,,,
-8.473867,4617,14680064,3179,52.4,28,,0.07926041024729784,0.09375572204589844,0.00927046500146389,0.7803283929824829,,,0.00026407040000000007,0.2,-0.002475048667918145,0.9252249971032143,-2.3350619616685435,540,0.0082672965
,,14991360,,,,49.84,0.07964267798961373,0.09348583221435547,0.011277243494987488,0.7720504999160767,-7.312541961669922,0.84,0.00025533226666666665,0.2,-0.002234275923945006,0.9241676926612854,-2.319925695564598,560,0.008130616
-11.00043,4585,15204352,3315,60.52,29,,,,,,,,,,,,,,
-12.800772,4551,15728640,3455,67.93,30,,0.07861167067967471,0.09366807937622071,0.004366530105471611,0.7642805576324463,,,0.00024659413333333335,0.2,-0.00201902309602815,0.9235148131847382,-2.3001993275946004,580,0.008272823
,,15990784,,,,52.84,0.07397029496023606,0.09313077926635742,0.003040604293346405,0.757459819316864,-10.231283187866211,0.84,0.00023785600000000002,0.2,-0.001989651441493834,0.9254079163074493,-2.279963998636231,600,0.008392351
-7.812381,4436,16252928,3663,43.99,31,,,,,,,,,,,,,,
-9.128657,4439,16777216,3778,47.46,32,,0.06877895329889724,0.09075412750244141,0.011165939271450043,0.7497196793556213,,,0.00022911786666666666,0.2,-0.001901876258023094,0.9288571774959564,-2.261209290078841,620,0.008046821
,,16990208,,,,59.4,0.06696023162949132,0.08821592330932618,0.0043368153274059296,0.7429381608963013,-11.911667823791504,0.82,0.00022037973333333333,0.2,-0.0017289269598677493,0.9281749874353409,-2.241177595150657,640,0.007910511
-6.280228,4415,17301504,3917,38.66,33,,,,,,,,,,,,,,
-6.5983586,4420,17825792,4032,40.36,34,,0.060936430056608516,0.09082679748535157,0.003212369978427887,0.7334713935852051,,,0.00021164159999999998,0.2,-0.0019245470838541224,0.9348114430904388,-2.217318161460571,660,0.008079305
,,17989632,,,,52.28,0.06409786626536515,0.08740930557250977,0.0060924626886844635,0.7272517681121826,-9.945581436157227,0.86,0.00020290346666666665,0.2,-0.001594894332788499,0.9318250566720963,-2.1983201674884185,680,0.007936831
-7.767316,4397,18350080,4172,46.12,35,,,,,,,,,,,,,,
-2.5009007,4400,18874368,4289,23.22,36,,0.06436391029710649,0.08576459884643554,0.00466565228998661,0.7188593149185181,,,0.00019416533333333337,0.2,-0.001597306910491625,0.9315924271941185,-2.1788998225005343,700,0.007786917
